x,nNx,nDx,nax
0,"379,985","3,741",0.087
1,"1,559,722",770,1.5
5,"1,896,295",532,2.5
10,"2,160,190",673,2.966
15,"2,179,837","2,138",2.769
20,"2,159,556","3,432",2.574
25,"2,106,750","3,291",2.512
30,"2,147,845","3,657",2.586
35,"2,165,387","4,956",2.657
40,"1,516,952","5,269",2.697
45,"1,498,630","8,654",2.695
50,"1,552,746","14,490",2.663
55,"1,476,770","20,831",2.625
60,"1,350,479","26,805",2.601
65,"722,430","20,233",2.615
70,"842,589","38,315",2.598
75,"636,848","46,903",2.538
80,"372,059","44,443",2.466
85,"175,169","37,759",4.639
